	Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Ensembl Protein Family ID(s)	Associated Gene Name
9937	ENSG00000168135	22	38822332	38851205	ENSFM00730001521253	KCNJ4
9938	ENSG00000198160	1	67390578	67454302	ENSFM00250000001544	MIER1
9939	ENSG00000132498	9	43064966	43133544	ENSFM00570000851034	ANKRD20A3
9940	ENSG00000148386	9	138555168	138558268	ENSFM00500000278024	LCN9
9941	ENSG00000189090	10	47177204	47181681	ENSFM00670001239405	FAM25B
9942	ENSG00000264424	17	10346607	10372876	ENSFM00250000000024	MYH4
9943	ENSG00000127241	3	186935942	187009810	ENSFM00250000000377	MASP1
9944	ENSG00000100196	22	38864067	38879452	ENSFM00250000002115	KDELR3
9945	ENSG00000152785	4	81952119	81978685	ENSFM00320000100141	BMP3
9946	ENSG00000185105	17	79897521	79905109	ENSFM00500000271004	MYADML2
9947	ENSG00000153896	19	35248981	35264134	ENSFM00250000000002	ZNF599
9948	ENSG00000165643	9	138585253	138591374	ENSFM00600000922390	SOHLH1
9949	ENSG00000167981	16	3486104	3493542	ENSFM00500000274037	ZNF597
9950	ENSG00000236609	7	6655248	6663921	ENSFM00740001590646	ZNF853
9951	ENSG00000175202	15	72968124	72978490	ENSFM00500000290452	HIGD2B
9952	ENSG00000066248	2	233743396	233877982	ENSFM00740001589196	NGEF
9953	ENSG00000110871	12	120941077	120972237	ENSFM00250000003662	COQ5
9954	ENSG00000185269	17	79910388	79919716	ENSFM00250000004144	NOTUM
9955	ENSG00000255819	12	10524952	10562745	ENSFM00500000270035	KLRC4-KLRK1
9956	ENSG00000131759	17	38465444	38513094	ENSFM00260000050405	RARA
9957	ENSG00000065609	6	84262599	84419410	ENSFM00250000000859	SNAP91
9958	ENSG00000110324	11	117857063	117872196	ENSFM00250000009442	IL10RA
9959	ENSG00000198580	7	6713376	6715991	ENSFM00250000000002	AC073343.1
9960	ENSG00000162105	11	70313961	70963623	ENSFM00250000000743	SHANK2
9961	ENSG00000150275	10	55562531	57387702	ENSFM00410000138518	PCDH15
9962	ENSG00000082397	18	5392383	5630699	ENSFM00730001521256	EPB41L3
9963	ENSG00000138669	4	82009837	82136218	ENSFM00400000131755	PRKG2
9964	ENSG00000168661	19	35417807	35436074	ENSFM00250000000002	ZNF30
9965	ENSG00000140688	16	31500792	31520630	ENSFM00250000005491	C16orf58
9966	ENSG00000180353	3	121350246	121379774	ENSFM00600000921221	HCLS1
9967	ENSG00000124570	6	2948393	2972090	ENSFM00500000269596	SERPINB6
9968	ENSG00000148835	10	105127724	105148822	ENSFM00270000056488	TAF5
9969	ENSG00000235715	HSCHR6_MHC_COX	32730817	32734804	ENSFM00320000100083	PSMB8
9970	ENSG00000186867	4	122250467	122302214	ENSFM00500000271576	QRFPR
9971	ENSG00000100201	22	38879445	38903665	ENSFM00420000140507	DDX17
9972	ENSG00000104888	19	49932658	49945617	ENSFM00730001521551	SLC17A7
9973	ENSG00000104738	8	48872745	48890720	ENSFM00730001521666	MCM4
9974	ENSG00000154529	9	43684902	43924049	ENSFM00250000000380	CNTNAP3B
9975	ENSG00000169208	14	22037934	22038875	ENSFM00730001521592	OR10G3
9976	ENSG00000255569	14	22089991	22090720	ENSFM00670001248552	TRAV1-1
9977	ENSG00000180884	19	35447258	35454953	ENSFM00730001521252	ZNF792
9978	ENSG00000255582	14	22101992	22103096	ENSFM00730001521592	OR10G2
9979	ENSG00000164091	3	52288437	52322036	ENSFM00670001235457	WDR82
9980	ENSG00000164438	5	170736288	170739138	ENSFM00250000001042	TLX3
9981	ENSG00000237022	HSCHR6_MHC_MANN	31280024	31283395	ENSFM00730001521067	HLA-C
9982	ENSG00000158941	8	22462145	22479027	ENSFM00740001589298	CCAR2
9983	ENSG00000163050	1	227085237	227175246	ENSFM00250000002062	ADCK3
9984	ENSG00000140463	15	72978527	73030817	ENSFM00250000005698	BBS4
9985	ENSG00000197971	18	74690783	74845639	ENSFM00250000002814	MBP
9986	ENSG00000100722	14	89029253	89079853	ENSFM00250000001637	ZC3H14
9987	ENSG00000142765	1	27668513	27680421	ENSFM00730001522096	SYTL1
9988	ENSG00000154822	3	16844159	17132086	ENSFM00740001589314	PLCL2
9989	ENSG00000158604	7	44617493	44621886	ENSFM00500000270043	TMED4
9990	ENSG00000122390	16	3493611	3536963	ENSFM00250000005277	NAA60
9991	ENSG00000101940	X	48448430	48463581	ENSFM00250000007212	WDR13
9992	ENSG00000248672	2	160628362	160761221	ENSFM00740001589142	LY75-CD302
9993	ENSG00000164919	8	100885428	100906290	ENSFM00570000861491	COX6C
9994	ENSG00000133316	11	62599814	62609281	ENSFM00250000006930	WDR74
9995	ENSG00000261456	HG905_PATCH	96892	100113	ENSFM00250000000193	TUBB8
9996	ENSG00000138315	10	74653339	74692791	ENSFM00320000100232	OIT3
9997	ENSG00000204172	10	47191844	47239738	ENSFM00250000000604	AGAP10
9998	ENSG00000164111	4	122589110	122618268	ENSFM00740001589071	ANXA5
9999	ENSG00000168237	3	52321105	52329272	ENSFM00250000002112	GLYCTK
10000	ENSG00000142444	19	11039409	11044211	ENSFM00500000274239	C19orf52
10001	ENSG00000107147	9	138594031	138684992	ENSFM00250000001245	KCNT1
10002	ENSG00000256553	14	22111109	22111798	ENSFM00670001248552	TRAV1-2
10003	ENSG00000089351	19	35485688	35517375	ENSFM00500000270030	GRAMD1A
10004	ENSG00000206402	HSCHR6_MHC_QBL	31664920	31675931	ENSFM00280000058806	LY6G6D
10005	ENSG00000221977	14	22133297	22134238	ENSFM00730001521158	OR4E2
10006	ENSG00000177453	5	43192173	43280952	ENSFM00730001522392	NIM1K
10007	ENSG00000211776	14	22180544	22181066	ENSFM00670001270821	TRAV2
10008	ENSG00000260150	HG905_PATCH	184465	304637	ENSFM00250000003541	ZMYND11
10009	ENSG00000120798	12	95414005	95467479	ENSFM00260000050512	NR2C1
10010	ENSG00000211777	14	22191960	22192568	ENSFM00500000454820	TRAV3
10011	ENSG00000183283	12	51632076	51665146	ENSFM00500000273214	DAZAP2
10012	ENSG00000211778	14	22204434	22205264	ENSFM00670001240598	TRAV4
10013	ENSG00000130762	1	3370990	3397677	ENSFM00740001589329	ARHGEF16
10014	ENSG00000181163	5	170814120	170838141	ENSFM00500000270251	NPM1
10015	ENSG00000211779	14	22217462	22217989	ENSFM00670001251053	TRAV5
10016	ENSG00000211780	14	22236729	22237320	ENSFM00500000406092	TRAV6
10017	ENSG00000104872	19	49949555	49956754	ENSFM00250000007851	PIH1D1
10018	ENSG00000198250	10	47657581	47701443	ENSFM00250000001590	ANTXRL
10019	ENSG00000112655	6	43044006	43129457	ENSFM00260000050584	PTK7
10020	ENSG00000124588	6	2988221	3019996	ENSFM00250000003453	NQO2
10021	ENSG00000138670	4	82347547	82965397	ENSFM00250000001384	RASGEF1B
10022	ENSG00000112972	5	43289497	43313614	ENSFM00250000002286	HMGCS1
10023	ENSG00000164631	7	6728064	6746554	ENSFM00250000000002	ZNF12
10024	ENSG00000108576	17	28521337	28563020	ENSFM00730001521312	SLC6A4
10025	ENSG00000213809	12	10524952	10544473	ENSFM00500000271862	KLRK1
10026	ENSG00000100206	22	38914954	38966291	ENSFM00740001589272	DMC1
10027	ENSG00000224608	HSCHR6_MHC_MANN	31364707	31368080	ENSFM00730001521061	HLA-B
10028	ENSG00000236029	9	47295855	47314322	ENSFM00250000000380	AL953854.2
10029	ENSG00000243804	HSCHR6_MHC_QBL	31664901	31668612	ENSFM00280000058806	LY6G6F
10030	ENSG00000211781	14	22251210	22251720	ENSFM00670001276669	TRAV7
10031	ENSG00000211782	14	22265459	22266058	ENSFM00740001589720	TRAV8-1
10032	ENSG00000169696	17	79934683	79975282	ENSFM00250000004584	ASPSCR1
10033	ENSG00000211783	14	22279674	22280149	ENSFM00740001589577	TRAV9-1
10034	ENSG00000262046	HG883_PATCH	26646121	26655707	ENSFM00500000273850	TMEM97
10035	ENSG00000211784	14	22293636	22294239	ENSFM00670001244230	TRAV10
10036	ENSG00000137648	11	117947753	117992605	ENSFM00740001589494	TMPRSS4
10037	ENSG00000211785	14	22309422	22309956	ENSFM00670001247979	TRAV12-1
10038	ENSG00000125823	20	23420322	23425567	ENSFM00670001236971	CSTL1
10039	ENSG00000116704	1	67465015	67519782	ENSFM00250000002064	SLC35D1
10040	ENSG00000169418	1	153651113	153666468	ENSFM00250000000198	NPR1
10041	ENSG00000158526	X	54466834	54471920	ENSFM00500000273954	TSR2
10042	ENSG00000138308	10	74694928	74714536	ENSFM00500000272309	PLA2G12B
10043	ENSG00000136155	13	78109809	78219398	ENSFM00250000007090	SCEL
10044	ENSG00000125831	20	23431040	23433494	ENSFM00670001237150	CST11
10045	ENSG00000105953	7	44646171	44748665	ENSFM00750001632363	OGDH
10046	ENSG00000176595	8	1922044	1955102	ENSFM00250000005444	KBTBD11
10047	ENSG00000183542	12	10559983	10562356	ENSFM00500000270035	KLRC4
10048	ENSG00000162591	1	3406484	3528059	ENSFM00250000000419	MEGF6
10049	ENSG00000188686	8	145490549	145492470	ENSFM00500000274532	SCXA
10050	ENSG00000125815	20	23471738	23476655	ENSFM00670001236811	CST8
10051	ENSG00000077063	7	117350705	117514193	ENSFM00600000921238	CTTNBP2
10052	ENSG00000102384	X	100353178	100418670	ENSFM00250000006170	CENPI
10053	ENSG00000258372	HSCHR17_1	43776446	43839462	ENSFM00670001237514	ARL17A
10054	ENSG00000204632	6	29794744	29798902	ENSFM00730001521062	HLA-G
10055	ENSG00000196458	12	133498019	133532892	ENSFM00250000000002	ZNF605
10056	ENSG00000184949	22	38974125	39052634	ENSFM00250000009114	FAM227A
10057	ENSG00000101435	20	23545369	23549386	ENSFM00670001238401	CST9L
10058	ENSG00000152133	2	37311594	37326387	ENSFM00250000006251	GPATCH11
10059	ENSG00000173335	20	23583047	23586513	ENSFM00500000288288	CST9
10060	ENSG00000102302	X	54471887	54522599	ENSFM00500000269831	FGD1
10061	ENSG00000103351	16	3550924	3589048	ENSFM00250000003236	CLUAP1
10062	ENSG00000235233	HSCHR6_MHC_MANN	31410600	31427049	ENSFM00250000000389	MICA
10063	ENSG00000161618	19	49956426	49974305	ENSFM00400000131967	ALDH16A1
10064	ENSG00000196774	9	67926761	67969840	ENSFM00570000851034	ANKRD20A1
10065	ENSG00000101439	20	23608534	23619110	ENSFM00670001237088	CST3
10066	ENSG00000036448	8	1993155	2113475	ENSFM00260000050477	MYOM2
10067	ENSG00000185122	8	145515280	145538385	ENSFM00500000270194	HSF1
10068	ENSG00000022840	12	120971283	121015397	ENSFM00250000004779	RNF10
10069	ENSG00000140263	15	45315302	45369383	ENSFM00730001521634	SORD
10070	ENSG00000131374	3	17198654	18486309	ENSFM00250000004733	TBC1D5
10071	ENSG00000257211	HSCHR17_1	43800487	43865069	ENSFM00500000270330	AC138688.1
10072	ENSG00000101441	20	23666277	23669677	ENSFM00500000277526	CST4
10073	ENSG00000102984	16	71893583	71929239	ENSFM00250000007622	ZNF821
10074	ENSG00000130559	9	138700333	138799074	ENSFM00600000921199	CAMSAP1
10075	ENSG00000132554	8	100973164	101143496	ENSFM00250000007063	RGS22
10076	ENSG00000182185	14	68286496	69196935	ENSFM00430000230342	RAD51B
10077	ENSG00000179299	4	40751914	40812002	ENSFM00250000005912	NSUN7
10078	ENSG00000151882	5	43376747	43412493	ENSFM00600000921921	CCL28
10079	ENSG00000183153	17	38517235	38520067	ENSFM00670001235281	GJD3
10080	ENSG00000155282	9	67968793	67987998	ENSFM00570000851034	RP11-195B21.3
10081	ENSG00000185818	4	2061239	2070816	ENSFM00500000275333	NAT8L
10082	ENSG00000170373	20	23728190	23731905	ENSFM00500000277526	CST1
10083	ENSG00000115488	2	233897382	233899767	ENSFM00250000002795	NEU2
10084	ENSG00000231372	HSCHR6_MHC_MANN	31512918	31518423	ENSFM00250000000389	MICB
10085	ENSG00000204793	9	69199480	69202204	ENSFM00500000272558	FOXD4L6
10086	ENSG00000143933	2	47387221	47403740	ENSFM00750001632311	CALM2
10087	ENSG00000122884	10	74766975	74856732	ENSFM00250000000707	P4HA1
10088	ENSG00000170369	20	23804406	23807368	ENSFM00500000277526	CST2
10089	ENSG00000106330	7	100209725	100213007	ENSFM00500000273463	MOSPD3
10090	ENSG00000170367	20	23856572	23860387	ENSFM00500000289654	CST5
10091	ENSG00000131747	17	38544768	38574202	ENSFM00740001589149	TOP2A
10092	ENSG00000188313	3	146232967	146262651	ENSFM00500000269855	PLSCR1
10093	ENSG00000011143	17	56282803	56296966	ENSFM00250000006642	MKS1
10094	ENSG00000100216	22	39077953	39080818	ENSFM00600000921823	TOMM22
10095	ENSG00000168003	11	62623518	62656352	ENSFM00250000004066	SLC3A2
10096	ENSG00000197381	21	46493768	46646478	ENSFM00250000000663	ADARB1
10097	ENSG00000162594	1	67632083	67725662	ENSFM00250000007996	IL23R
10098	ENSG00000149435	20	23965690	23969416	ENSFM00250000000661	GGTLC1
10099	ENSG00000172893	11	71139239	71163914	ENSFM00730001522320	DHCR7
10100	ENSG00000130997	4	2073645	2243848	ENSFM00250000005169	POLN
10101	ENSG00000172986	3	72937224	73047289	ENSFM00250000004647	GXYLT2
10102	ENSG00000101463	20	24449835	24647252	ENSFM00670001235828	SYNDIG1
10103	ENSG00000255641	12	10564911	10588600	ENSFM00500000270035	NKG2-E
10104	ENSG00000181378	2	219867568	219906249	ENSFM00360000109952	CCDC108
10105	ENSG00000100221	22	39081548	39097561	ENSFM00600000921376	JOSD1
10106	ENSG00000140279	15	45384848	45406542	ENSFM00440000236872	DUOX2
10107	ENSG00000102385	X	100474758	100519486	ENSFM00250000000455	DRP2
10108	ENSG00000197102	14	102430865	102517129	ENSFM00730001521523	DYNC1H1
10109	ENSG00000090554	19	49977464	49989488	ENSFM00670001236316	FLT3LG
10110	ENSG00000015285	X	48534985	48549818	ENSFM00250000001784	WAS
10111	ENSG00000153246	2	160788519	160919121	ENSFM00740001589142	PLA2R1
10112	ENSG00000105711	19	35521588	35531352	ENSFM00600000921511	SCN1B
10113	ENSG00000130560	9	138824815	138853226	ENSFM00250000007542	UBAC1
10114	ENSG00000142733	1	27681675	27693383	ENSFM00260000050412	MAP3K6
10115	ENSG00000120733	5	137688285	137772717	ENSFM00250000000838	KDM3B
10116	ENSG00000211786	14	22314719	22315403	ENSFM00670001239630	TRAV8-2
10117	ENSG00000206395	HSCHR6_MHC_QBL	31685048	31688627	ENSFM00250000003817	DDAH2
10118	ENSG00000211787	14	22320735	22321183	ENSFM00740001589720	TRAV8-3
10119	ENSG00000211788	14	22337020	22337546	ENSFM00690001356838	TRAV13-1
10120	ENSG00000159322	15	73043710	73078187	ENSFM00250000002925	ADPGK
10121	ENSG00000211789	14	22356037	22356682	ENSFM00670001247979	TRAV12-2
10122	ENSG00000163605	3	73045936	73118350	ENSFM00250000003988	PPP4R2
10123	ENSG00000111186	12	1639057	1756409	ENSFM00740001589193	WNT5B
10124	ENSG00000211790	14	22362613	22363210	ENSFM00670001239630	TRAV8-4
10125	ENSG00000171054	X	130677950	130679030	ENSFM00420000140520	OR13H1
10126	ENSG00000168918	2	233924677	234116549	ENSFM00500000270444	INPP5D
10127	ENSG00000198393	12	133562951	133589154	ENSFM00250000000002	ZNF26
10128	ENSG00000100226	22	39101728	39134304	ENSFM00250000001372	GTPBP1
10129	ENSG00000167984	16	3589033	3627401	ENSFM00730001522555	NLRC3
10130	ENSG00000151694	2	9628615	9695921	ENSFM00390000126353	ADAM17
10131	ENSG00000158109	1	3541566	3546691	ENSFM00250000004936	TPRG1L
10132	ENSG00000204790	9	69204538	69269662	ENSFM00250000002195	CBWD6
10133	ENSG00000134602	X	131157293	131209971	ENSFM00320000100081	MST4
10134	ENSG00000102967	16	72042487	72058954	ENSFM00250000003878	DHODH
10135	ENSG00000071539	5	892758	919472	ENSFM00250000005056	TRIP13
10136	ENSG00000109851	11	20177701	20182159	ENSFM00290000065614	DBX1
10137	ENSG00000148411	9	138898383	138987131	ENSFM00250000003318	NACC2
10138	ENSG00000114841	3	52350335	52434507	ENSFM00730001521131	DNAH1
10139	ENSG00000169994	2	128293378	128395304	ENSFM00730001521632	MYO7B
10140	ENSG00000077984	20	24929866	24940564	ENSFM00500000275416	CST7
10141	ENSG00000144339	2	192813769	193060435	ENSFM00250000001843	TMEFF2
10142	ENSG00000163827	3	46556913	46621589	ENSFM00500000272154	LRRC2
10143	ENSG00000130119	X	54556644	54587504	ENSFM00550000743151	GNL3L
10144	ENSG00000140274	15	45406519	45410619	ENSFM00250000004470	DUOXA2
10145	ENSG00000169402	7	6793740	6838996	ENSFM00430000230196	RSPH10B2
10146	ENSG00000173915	10	105148798	105156223	ENSFM00500000281792	USMG5
10147	ENSG00000055332	2	37326353	37384208	ENSFM00250000006495	EIF2AK2
10148	ENSG00000243067	HSCHR6_MHC_COX	32734237	32769688	ENSFM00440000236879	PSMB9
10149	ENSG00000042493	2	85621871	85645555	ENSFM00740001589087	CAPG
10150	ENSG00000136160	13	78469616	78493903	ENSFM00500000269879	EDNRB
10151	ENSG00000109854	11	20385231	20405329	ENSFM00500000271809	HTATIP2
10152	ENSG00000116213	1	3547331	3569325	ENSFM00250000006425	WRAP73
10153	ENSG00000101474	20	24943561	24973615	ENSFM00440000236938	APMAP
10154	ENSG00000127616	19	11071598	11176071	ENSFM00750001632331	SMARCA4
10155	ENSG00000142748	1	27695603	27701315	ENSFM00730001522083	FCN3
10156	ENSG00000107187	9	139088096	139096955	ENSFM00600000921234	LHX3
10157	ENSG00000106327	7	100218039	100240402	ENSFM00500000270210	TFR2
10158	ENSG00000105707	19	35531410	35557475	ENSFM00730001522428	HPN
10159	ENSG00000171823	12	1675159	1703331	ENSFM00500000272147	FBXL14
10160	ENSG00000137275	6	3064225	3115421	ENSFM00500000271467	RIPK1
10161	ENSG00000206432	18	5882071	5895954	ENSFM00500000278212	TMEM200C
10162	ENSG00000262841	HSCHR5_1_CTG1	68530666	68573234	ENSFM00730001521802	CDK7
10163	ENSG00000232125	2	207516345	207583120	ENSFM00400000131950	DYTN
10164	ENSG00000081985	1	67773047	67862583	ENSFM00350000105526	IL12RB2
10165	ENSG00000155980	12	57943781	57980415	ENSFM00670001235340	KIF5A
10166	ENSG00000006831	12	1797740	1897844	ENSFM00730001521852	ADIPOR2
10167	ENSG00000143624	1	153700543	153746555	ENSFM00250000004433	INTS3
10168	ENSG00000109061	17	10395624	10421860	ENSFM00250000000024	MYH1
10169	ENSG00000174950	1	27705666	27709870	ENSFM00250000010741	CD164L2
10170	ENSG00000148843	10	105156405	105206049	ENSFM00740001589205	PDCD11
10171	ENSG00000257887	HSCHR17_1	43886503	43890161	ENSFM00250000001387	AC138688.4
10172	ENSG00000165661	9	139098179	139137687	ENSFM00250000001659	QSOX2
10173	ENSG00000258270	HSCHR17_1	43904776	43906058	ENSFM00670001237676	AC138688.5
10174	ENSG00000188827	16	3631182	3661599	ENSFM00250000003900	SLX4
10175	ENSG00000185000	8	145539954	145550573	ENSFM00500000270667	DGAT1
10176	ENSG00000225859	HSCHR6_MHC_MANN	31537515	31553854	ENSFM00400000131771	DDX39B
10177	ENSG00000177098	11	118004092	118023603	ENSFM00500000274501	SCN4B
10178	ENSG00000186807	10	47746936	47763041	ENSFM00740001589071	ANXA8L2
10179	ENSG00000206394	HSCHR6_MHC_QBL	31688591	31697781	ENSFM00250000000982	CLIC1
10180	ENSG00000140254	15	45409569	45422136	ENSFM00250000004470	DUOXA1
10181	ENSG00000241186	3	46616045	46668033	ENSFM00500000273423	TDGF1
10182	ENSG00000152192	13	79172497	79177673	ENSFM00350000105422	POU4F1
10183	ENSG00000143776	1	227177566	227506175	ENSFM00730001521452	CDC42BPA
10184	ENSG00000154655	18	5954705	6415236	ENSFM00400000131791	L3MBTL4
10185	ENSG00000138400	2	207602487	207630271	ENSFM00400000131950	MDH1B
10186	ENSG00000138668	4	83273651	83295656	ENSFM00500000269788	HNRNPD
10187	ENSG00000211791	14	22386363	22386931	ENSFM00740001593606	TRAV13-2
10188	ENSG00000147439	8	22477931	22526661	ENSFM00460000244978	BIN3
10189	ENSG00000056972	6	111877657	111927481	ENSFM00250000005810	TRAF3IP2
10190	ENSG00000140830	16	72078188	72128330	ENSFM00500000272675	TXNL4B
10191	ENSG00000142541	19	49990811	49995565	ENSFM00250000002474	RPL13A
10192	ENSG00000152193	13	79188426	79233314	ENSFM00250000006775	RNF219
10193	ENSG00000211792	14	22392239	22392827	ENSFM00670001238603	TRAV14DV4
10194	ENSG00000211793	14	22409313	22409848	ENSFM00740001589577	TRAV9-2
10195	ENSG00000160360	9	139221932	139254057	ENSFM00250000001225	GPSM1
10196	ENSG00000181773	1	27719148	27722318	ENSFM00350000105459	GPR3
10197	ENSG00000211794	14	22433680	22434290	ENSFM00670001247979	TRAV12-3
10198	ENSG00000211795	14	22446699	22447360	ENSFM00670001239630	TRAV8-6
10199	ENSG00000198040	12	133613878	133639885	ENSFM00250000000002	ZNF84
10200	ENSG00000211796	14	22458735	22459177	ENSFM00670001244595	TRAV16
10201	ENSG00000211797	14	22465778	22466407	ENSFM00670001240095	TRAV17
10202	ENSG00000126581	17	40962152	40985367	ENSFM00500000270585	BECN1
10203	ENSG00000211798	14	22471345	22471912	ENSFM00670001240217	TRAV18
10204	ENSG00000211799	14	22475751	22476420	ENSFM00750001632689	TRAV19
10205	ENSG00000211800	14	22508840	22509399	ENSFM00670001244294	TRAV20
10206	ENSG00000100242	22	39130730	39190148	ENSFM00500000270151	SUN2
10207	ENSG00000064652	5	122179134	122365049	ENSFM00500000272475	SNX24
10208	ENSG00000211801	14	22520773	22521315	ENSFM00670001238552	TRAV21
10209	ENSG00000158195	1	27730730	27816669	ENSFM00250000001269	WASF2
10210	ENSG00000211802	14	22538820	22539471	ENSFM00670001243226	TRAV22
10211	ENSG00000211803	14	22554684	22555238	ENSFM00670001236705	TRAV23DV6
10212	ENSG00000213918	16	3661729	3730144	ENSFM00250000001127	DNASE1
10213	ENSG00000211804	14	22564309	22564896	ENSFM00500000271749	TRDV1
10214	ENSG00000211805	14	22573620	22574123	ENSFM00670001239982	TRAV24
10215	ENSG00000211806	14	22580300	22580984	ENSFM00670001256878	TRAV25
10216	ENSG00000163697	4	40812044	41218731	ENSFM00250000001062	APBB2
10217	ENSG00000167419	17	56295909	56345879	ENSFM00740001589176	LPO
10218	ENSG00000211807	14	22591276	22592243	ENSFM00670001241950	TRAV26-1
10219	ENSG00000211808	14	22600515	22600996	ENSFM00670001270604	TRAV8-7
10220	ENSG00000211809	14	22615949	22616587	ENSFM00670001247271	TRAV27
10221	ENSG00000211810	14	22631134	22631766	ENSFM00700001390477	TRAV29DV5
10222	ENSG00000172890	11	71164155	71235153	ENSFM00250000003772	NADSYN1
10223	ENSG00000259092	14	22636325	22636884	ENSFM00670001257800	TRAV30
10224	ENSG00000211812	14	22670477	22671262	ENSFM00670001241914	TRAV26-2
10225	ENSG00000213221	9	139253932	139258241	ENSFM00500000279143	DNLZ
10226	ENSG00000211813	14	22675418	22676025	ENSFM00670001255749	TRAV34
10227	ENSG00000211814	14	22689792	22690371	ENSFM00670001259082	TRAV35
10228	ENSG00000166573	18	74962505	74980858	ENSFM00600000921239	GALR1
10229	ENSG00000211815	14	22694641	22695149	ENSFM00740001592657	TRAV36DV7
10230	ENSG00000142864	1	67873493	67896098	ENSFM00500000270904	SERBP1
10231	ENSG00000211816	14	22739851	22740446	ENSFM00670001238586	TRAV38-1
10232	ENSG00000211817	14	22748988	22749631	ENSFM00670001238586	TRAV38-2DV8
10233	ENSG00000168539	11	62676151	62689279	ENSFM00250000000372	CHRM1
10234	ENSG00000211818	14	22771939	22772438	ENSFM00500000453975	TRAV39
10235	ENSG00000180263	12	95470525	95611258	ENSFM00730001522245	FGD6
10236	ENSG00000211819	14	22782922	22783351	ENSFM00670001257046	TRAV40
10237	ENSG00000067141	15	73344051	73597547	ENSFM00260000050557	NEO1
10238	ENSG00000139746	13	79885962	79980612	ENSFM00250000001399	RBM26
10239	ENSG00000211820	14	22788620	22789123	ENSFM00500000271749	TRAV41
10240	ENSG00000145506	5	1008944	1039058	ENSFM00570000851280	NKD2
10241	ENSG00000211821	14	22891362	22892033	ENSFM00740001593788	TRDV2
10242	ENSG00000149575	11	118032666	118047388	ENSFM00250000008560	SCN2B
10243	ENSG00000256463	18	76740275	76762677	ENSFM00740001589170	SALL3
10244	ENSG00000108578	17	28575218	28619074	ENSFM00250000002739	BLMH
10245	ENSG00000172014	9	69381812	69425560	ENSFM00570000851034	ANKRD20A4
10246	ENSG00000173208	12	39943835	40013553	ENSFM00250000000815	ABCD2
10247	ENSG00000187796	9	139256355	139268133	ENSFM00250000001514	CARD9
10248	ENSG00000211829	14	22931924	22934779	ENSFM00500000271749	TRDC
10249	ENSG00000173230	3	121382046	121468602	ENSFM00250000005925	GOLGB1
10250	ENSG00000255423	3	73110810	73112488	ENSFM00250000010860	EBLN2
10251	ENSG00000205810	12	10564911	10573194	ENSFM00500000270035	KLRC3
10252	ENSG00000197901	11	62703857	62752455	ENSFM00400000131714	SLC22A6
10253	ENSG00000165694	X	131211021	131262048	ENSFM00270000056477	FRMD7
10254	ENSG00000176134	9	69650263	69660358	ENSFM00670001244390	AL445665.1
10255	ENSG00000257017	16	72088491	72094954	ENSFM00480000262792	HP
10256	ENSG00000185238	11	20409076	20530840	ENSFM00730001522058	PRMT3
10257	ENSG00000204779	9	70175707	70178815	ENSFM00500000272558	FOXD4L5
10258	ENSG00000157107	5	72251808	72386349	ENSFM00600000921280	FCHO2
10259	ENSG00000184659	9	70426623	70429731	ENSFM00500000272558	FOXD4L4
10260	ENSG00000088756	18	6729717	6915715	ENSFM00250000001802	ARHGAP28
10261	ENSG00000137274	6	3118608	3153812	ENSFM00250000004835	BPHL
10262	ENSG00000205809	12	10579453	10594899	ENSFM00500000270035	KLRC2
10263	ENSG00000182568	3	18386879	18487080	ENSFM00250000003208	SATB1
10264	ENSG00000160593	11	118064455	118095809	ENSFM00250000008065	AMICA1
10265	ENSG00000102313	X	54775332	54824673	ENSFM00250000000536	ITIH6
10266	ENSG00000196950	2	196440701	196602426	ENSFM00500000270550	SLC39A10
10267	ENSG00000257437	HSCHR17_1	44150125	44280402	ENSFM00260000050441	AC217779.2
10268	ENSG00000123737	4	122722472	122738176	ENSFM00250000005803	EXOSC9
10269	ENSG00000226850	HSCHR6_MHC_MANN	31551738	31554120	ENSFM00600000921884	ATP6V1G2
10270	ENSG00000121440	3	73431584	73674091	ENSFM00250000001242	PDZRN3
10271	ENSG00000165684	9	139270029	139293249	ENSFM00250000003986	SNAPC4
10272	ENSG00000141753	17	38599702	38613983	ENSFM00500000272062	IGFBP4
10273	ENSG00000100246	22	39174513	39190203	ENSFM00670001236211	DNAL4
10274	ENSG00000156509	8	101145588	101158028	ENSFM00250000006450	FBXO43
10275	ENSG00000184445	12	123011793	123110943	ENSFM00250000006975	KNTC1
10276	ENSG00000173210	5	148521046	148640105	ENSFM00250000000459	ABLIM3
10277	ENSG00000123933	4	2249159	2264021	ENSFM00500000271933	MXD4
10278	ENSG00000181192	10	12110971	12165224	ENSFM00750001632345	DHTKD1
10279	ENSG00000134308	2	9724101	9771143	ENSFM00730001521154	YWHAQ
10280	ENSG00000169877	16	31539185	31540124	ENSFM00500000286127	AHSP
10281	ENSG00000116717	1	68150744	68154021	ENSFM00670001235556	GADD45A
10282	ENSG00000227565	HSCHR6_MHC_MANN	31554142	31566099	ENSFM00250000008592	NFKBIL1
10283	ENSG00000221890	22	39214457	39239987	ENSFM00500000269860	NPTXR
10284	ENSG00000147669	8	101162812	101166230	ENSFM00500000277165	POLR2K
10285	ENSG00000166377	18	76829285	77138283	ENSFM00440000236881	ATP9B
